s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
178,Mark Tobey,Northwest Drift,abstraction,Tate,1,FALSE,painting,"painting, tempera & gouache on paper on board",114 x 91 cm,1958,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,4,3,1,4,4,FALSE,0,5,5,"overlaying of small similar paint marks on surface, repetition, composed of multiple small & interwoven brush strokes"
4,Milton Avery,Yellow Sky ,modernism,Tate,1,FALSE,painting,"painting, oil on canvas",156 x 184 cm,1958,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,2,4,4,2,4,FALSE,0,0,5,"flatish, textured shapes & specific colors-linked to distortion of landscape. Early Moderism, little less about uncertainty, more to do w/ ambiguity"
140,Judit Reigl,Center of Dominance,, judit-reigl.com also Tate,21,FALSE,painting,"painting, oil on canvas",190 x 220 cm,1958,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,3,1,4,0,4,3,FALSE,0,5,5,"thick textural lines, swirl in space, empty space, indeterminate depth, sense of circular movement, different length lines"
350,Francis Thompson,Concave Orange with Hole on Plate,,MoMA,1,FALSE,photography,"photo, chromogenic color print",23 x 33 cm,1959,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,2,4,FALSE,0,0,5,"distortion, can't fully recognize objects"
348,Otto Piene ,Untitled (Smoke Drawing),kinetic art,MoMA,5,FALSE,drawing,"drawing, soot on paper",51 x 73 cm,1959,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,2,4,0,0,0,FALSE,5,0,3,"use of soot, repetition & overlapping, quality of material & varying repetition, seems volumetric, darker where overlapped, layers of holes across paper creating shape, uneven edge along the bottom"
17,Sandra Blow,Space and Matter ,abstraction,Tate,9,FALSE,painting,"painting, oil on hardboard",152 x 123 cm,1959,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,4,0,1,4,FALSE,0,3,5,"uncertain shapes, textures & spaces, overlapping, different scales, brush marks & handdrawn lines"
53,Nigel Henderson,Untitled No. 8 (Shattered Glass),collage,Tate,9,FALSE,photography,"photo, collage, gelatin silver print & ink on paper",121 x 121 cm,1959,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3,4,0,4,2,FALSE,0,5,3,"collage of multiple images of shattered glass, different orientations & sizes, hard to tell scale, collage useful tool for ambiguity"
85,Yves Klein,Leap into the Void ,conceptual,Tate Liverpool,4,FALSE,photography,"photo, gelatin silver print on paper",26 x 20 cm,1960,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,2,2,FALSE,0,0,5,"photomontage of performance, is this real?"
347,Jean Dubuffet ,Four Scribbles (Quatre gribouillis),,MoMA,4,TRUE,drawing,"drawing, ink on paper",27 x 21 cm,1960,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1,2,0,2,4,FALSE,0,5,0,"lettering, repetition, overlaying of scribbled writing each almost forming oval shape, suspended in 4 areas one on top of each other, faint backwards letters in some places (on back of paper?)"
346,Jean Tinguely,Fragment from Homage to New York,,MoMA,26,FALSE,sculpture,"sculpture, painted metal, fabric, tape, wood, & rubber tires",204 x 75 x 223 cm,1960,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0,2,4,FALSE,0,5,5,"this is one small piece of huge self-destructing machine, едМЭМЏself-constructing and self-destroying work of art,едМЭеќ which was set in motion in MoMA's sculpture garden during performance, sound, painted, moved, explosion, color smoke; performance stopped by fire dept, this piece includes some bicycle parts, multiple wheels, seat, paint can, long arching rod"
72,Peter Lanyon,Thermal ,abstraction,Tate,9,FALSE,painting,"painting, oil on canvas",183 x 152 cm,1960,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,3,4,0,0,1,FALSE,0,5,5,"overlayered paint, scraped surface, lines & marks from different directions, markmaking, sense of material, hard to tell what things are"
345,Heinz Mack,Untitled,ZERO,MoMA,5,FALSE,print,"print, lithograph",27 x 32 cm,1961,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,1,1,0,3,4,FALSE,0,5,0,"op, light & kinetic art, here parallel, jagged lines, quality of lines, optical almost blurring effect, repetition of very close thin lines, path of each wavering line"
86,Piero Manzoni,Artist‰ЫЄs Shit,conceptual,Tate,6,TRUE,sculpture,"sculpture, tin can, printed paper & excrement",5 x 7 x 7 cm,1961,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,0,0,1,0,0,2,FALSE,0,3,5,"intimation of what's inside through title, needs title to convey uncertainty, is it what it says it is?"
405,Gillian Avery,Break-off ,abstraction,Tate,9,FALSE,painting,"painting, oil on canvas",152 x 305 cm,1961,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,4,1,0,2,FALSE,3,5,5,"shapes placed separately on ground, vary in size, sense of liquid paint, shapes & lines bleed / merge, ambiguity through abstraction, shapes are somewhat moorless & float in relation to each other, what is the space, but less about uncertainty"
141,Ad Reinhardt,Abstract Painting No. 5,abstract expressionism,Tate,1,FALSE,painting,"painting, oil on canvas",152 x 152 cm,1962,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,5,2,0,0,3,FALSE,0,0,5,"is this all black or are there any shapes or layers underneath? way dark color is painted, sense of depth. display caption says ""underlying grid of different coloured squares divided by a green central horizontal band"""
253,Jasper Johns,Alphabets,,MoMA,1,TRUE,print,"print, lithograph",105 x 75 cm,1962,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,0,0,1,3,FALSE,0,5,0,"a-z w/ some letters left out (empty spaces), partially scribbled erasures, overlaying, orientation of marks; each line starts w/ next letter in alphabet but do the combinations of letters / erasures mean?"
20,Derek Boshier ,The Identi-Kit Man ,pop art,Tate,9,FALSE,painting,"painting, oil on canvas",183 x 183 cm,1962,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,1,2,0,1,4,FALSE,0,3,5,"more about ambiguity, collage effect, different sizes, collage combinations, hard to understand"
49,Hans Hartung,T1963-R6,abstraction,Tate,5,FALSE,painting,"painting, acrylic on canvas",180 x 141 cm,1963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,2,4,2,2,2,FALSE,0,5,3,"markmaking, scratched into paint in particular area, looks like hair, but image doesn't seem to be head, haunting"
355,Philip Guston,Untitled,,MoMA,1,FALSE,painting,"painting, synthetic polymer paint on paper",76 x 102 cm,1963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,2,3,2,3,4,FALSE,0,5,3,"overlayering, cross hatching, smudging, hard to tell what the 2+ shapes are, they are partly being encroached on by brushstrokes, overlaid space, painting doesn't go to edge, energetic thick brushstrokes, space inbetween brushstrokes so ground and shapes are not solid"
